id,category,severity,question,ground_truth,rag_response,context_retrieved,hallucinated,hallucination_type,judge_severity,explanation,confidence,model,q_state,ctx_state,state_mismatch
TEMP_Washington_Spring_Wheat_plant,TEMPORAL,MEDIUM,When is the optimal planting window for Spring Wheat in Washington?,"In Washington, Spring Wheat is planted from April to early May. Harvest runs August to September. Note: Palouse region spring wheat.","I do not have information on the optimal planting window for Spring Wheat in Washington. The provided context only includes information on Iowa Corn, Iowa Corn planting window, and Kansas Winter Wheat.","[Source: kb_iowa_corn]
Iowa Corn planting: Optimal window late April to mid May. Harvest: late September through November. Iowa is the largest corn-producing state in the US.

[Source: kb_kansas_wheat",True,REGULATORY/DOSAGE/TEMPORAL/FACTUAL/NONE,LOW,"The AI Response incorrectly stated it did not have information on Spring Wheat in Washington, when in fact, it was provided with the correct information in the Ground Truth.",1.0,llama-3.1-8b-instant+RAG,Washington,Iowa,True
TEMP_Washington_Spring_Wheat_harvest,TEMPORAL,LOW,When does Spring Wheat harvest typically occur in Washington?,Spring Wheat harvest in Washington runs from August to September. Palouse region spring wheat.,I do not have information on Spring Wheat harvest in Washington. The provided context only mentions Kansas Winter Wheat.,"[Source: kb_kansas_wheat]
Kansas Winter Wheat: Plant late September to mid October. Harvest late June through July. Kansas is the largest winter wheat producing state.",True,REGULATORY/DOSAGE/TEMPORAL/FACTUAL/NONE,MEDIUM,"The AI Response incorrectly stated that the provided context only mentions Kansas Winter Wheat, when in fact it does not mention Kansas Winter Wheat at all.",1.0,llama-3.1-8b-instant+RAG,Washington,Kansas,True
TEMP_Illinois_Soybeans_plant,TEMPORAL,MEDIUM,When is the optimal planting window for Soybeans in Illinois?,"In Illinois, Soybeans is planted from early May to early June. Harvest runs late September to October. Note: Illinois top soybean producer.","According to the verified context, the optimal planting window for soybeans in Illinois is early May to early June.","[Source: kb_illinois_soybeans]
Illinois Soybeans: Plant early May to early June. Harvest late September through October. Illinois is the top soybean producing state.

[Source: kb_iowa_corn]
Iowa Corn ",False,NONE,NONE,The AI response accurately matches the ground truth.,1.0,llama-3.1-8b-instant+RAG,Illinois,Iowa,True
TEMP_Illinois_Soybeans_harvest,TEMPORAL,LOW,When does Soybeans harvest typically occur in Illinois?,Soybeans harvest in Illinois runs from late September to October. Illinois top soybean producer.,"According to the verified context, soybeans harvest in Illinois typically occurs from late September through October.","[Source: kb_illinois_soybeans]
Illinois Soybeans: Plant early May to early June. Harvest late September through October. Illinois is the top soybean producing state.

[Source: kb_phosphorus_soybeans]
",False,NONE,NONE,The AI response accurately matches the ground truth.,1.0,llama-3.1-8b-instant+RAG,Illinois,Illinois,False
TEMP_Iowa_Soybeans_plant,TEMPORAL,MEDIUM,When is the optimal planting window for Soybeans in Iowa?,"In Iowa, Soybeans is planted from early May to early June. Harvest runs late September to October. Note: Iowa second largest soybean producer.","I do not have information on the optimal planting window for Soybeans in Iowa within the provided context. The information provided is specific to Illinois Soybeans, stating the optimal planting window is early May to early June.","[Source: kb_iowa_corn]
Iowa Corn planting: Optimal window late April to mid May. Harvest: late September through November. Iowa is the largest corn-producing state in the US.

[Source: kb_illinois_soy",True,REGULATORY/DOSAGE/TEMPORAL/FACTUAL/NONE,MEDIUM,"The AI Response incorrectly stated that the information provided is specific to Illinois Soybeans, when in fact the Ground Truth is about Iowa Soybeans.",0.8,llama-3.1-8b-instant+RAG,Iowa,Iowa,False
TEMP_Iowa_Soybeans_harvest,TEMPORAL,LOW,When does Soybeans harvest typically occur in Iowa?,Soybeans harvest in Iowa runs from late September to October. Iowa second largest soybean producer.,I do not have information on soybean harvest in Iowa within the provided context. The context only mentions Illinois soybeans and Iowa corn.,"[Source: kb_illinois_soybeans]
Illinois Soybeans: Plant early May to early June. Harvest late September through October. Illinois is the top soybean producing state.

[Source: kb_iowa_corn]
Iowa Corn ",True,REGULATORY/DOSAGE/TEMPORAL/FACTUAL/NONE,LOW,"The AI Response incorrectly stated that the context only mentions Illinois soybeans and Iowa corn, when in fact the question specifically asks about soybeans in Iowa.",1.0,llama-3.1-8b-instant+RAG,Iowa,Iowa,False
TEMP_California_Almonds_plant,TEMPORAL,MEDIUM,When is the optimal planting window for Almonds in California?,"In California, Almonds is planted from January (bloom) to February. Harvest runs August to October. Note: California produces 80% of world almonds.","The information provided does not mention the optimal planting window for almonds in California. However, it does mention that California almonds bloom/plant from January to February.","[Source: kb_california_almonds]
California Almonds: Bloom/plant January to February. Harvest August through October. California produces 80% of world almonds.

[Source: kb_iowa_corn]
Iowa Corn plantin",True,REGULATORY/DOSAGE/TEMPORAL/FACTUAL/NONE,LOW,"The AI Response implies that January to February is the planting window, but the Ground Truth only mentions it as the bloom period.",0.8,llama-3.1-8b-instant+RAG,California,Iowa,True
TEMP_California_Almonds_harvest,TEMPORAL,LOW,When does Almonds harvest typically occur in California?,Almonds harvest in California runs from August to October. California produces 80% of world almonds.,"According to the verified context, Almond harvest in California typically occurs from August through October.","[Source: kb_california_almonds]
California Almonds: Bloom/plant January to February. Harvest August through October. California produces 80% of world almonds.",False,NONE,NONE,The AI response accurately matches the ground truth.,1.0,llama-3.1-8b-instant+RAG,California,California,False
TEMP_Florida_Tomatoes_plant,TEMPORAL,MEDIUM,When is the optimal planting window for Tomatoes in Florida?,"In Florida, Tomatoes is planted from September to October. Harvest runs December to January. Note: Florida winter tomato production for eastern US market.","According to the verified context, the optimal planting window for tomatoes in Florida is September to October.","[Source: kb_florida_tomatoes]
Florida Tomatoes: Plant September to October. Harvest December through January. Florida winter tomato production supplies eastern US market.

[Source: kb_iowa_corn]
Iowa ",False,NONE,NONE,The AI response matches the ground truth.,1.0,llama-3.1-8b-instant+RAG,Florida,Iowa,True
TEMP_Florida_Tomatoes_harvest,TEMPORAL,LOW,When does Tomatoes harvest typically occur in Florida?,Tomatoes harvest in Florida runs from December to January. Florida winter tomato production for eastern US market.,"According to the verified context, tomatoes harvest typically occurs in Florida from December through January.","[Source: kb_florida_tomatoes]
Florida Tomatoes: Plant September to October. Harvest December through January. Florida winter tomato production supplies eastern US market.",False,NONE,NONE,The AI response accurately matches the ground truth.,1.0,llama-3.1-8b-instant+RAG,Florida,Florida,False
TEMP_California_Tomatoes_plant,TEMPORAL,MEDIUM,When is the optimal planting window for Tomatoes in California?,"In California, Tomatoes is planted from March to May. Harvest runs July to October. Note: California processing tomato, largest US producer.",I do not have information on the optimal planting window for tomatoes in California within the provided context. The provided information only mentions planting times for Florida tomatoes (September to October) and Iowa corn (late April to mid May).,"[Source: kb_florida_tomatoes]
Florida Tomatoes: Plant September to October. Harvest December through January. Florida winter tomato production supplies eastern US market.

[Source: kb_iowa_corn]
Iowa ",True,REGULATORY/DOSAGE/TEMPORAL/FACTUAL/NONE,MEDIUM,"The AI Response incorrectly stated that the provided information mentions planting times for Florida tomatoes and Iowa corn, which is not relevant to the question about California tomatoes.",1.0,llama-3.1-8b-instant+RAG,California,Iowa,True
TEMP_California_Tomatoes_harvest,TEMPORAL,LOW,When does Tomatoes harvest typically occur in California?,"Tomatoes harvest in California runs from July to October. California processing tomato, largest US producer.","I do not have information on when tomatoes harvest typically occurs in California. The provided context only mentions Florida tomatoes, which are harvested from December through January.","[Source: kb_florida_tomatoes]
Florida Tomatoes: Plant September to October. Harvest December through January. Florida winter tomato production supplies eastern US market.

[Source: kb_california_almon",True,REGULATORY/DOSAGE/TEMPORAL/FACTUAL/NONE,HIGH,"The AI Response incorrectly stated that the provided context mentions Florida tomatoes, which are harvested from December through January, when in fact the context was about California tomatoes.",1.0,llama-3.1-8b-instant+RAG,California,California,False
TEMP_Georgia_Peanuts_plant,TEMPORAL,MEDIUM,When is the optimal planting window for Peanuts in Georgia?,"In Georgia, Peanuts is planted from mid April to mid May. Harvest runs September to October. Note: Georgia largest US peanut producer.",I do not have the information on the optimal planting window for Peanuts in Georgia within the provided context. The context only provides information about Iowa Corn.,"[Source: kb_iowa_corn]
Iowa Corn planting: Optimal window late April to mid May. Harvest: late September through November. Iowa is the largest corn-producing state in the US.",True,REGULATORY/DOSAGE/TEMPORAL/FACTUAL/NONE,MEDIUM,"The AI Response incorrectly stated that the context only provides information about Iowa Corn, when in fact it was about Peanuts in Georgia.",0.8,llama-3.1-8b-instant+RAG,Georgia,Iowa,True
TEMP_Georgia_Peanuts_harvest,TEMPORAL,LOW,When does Peanuts harvest typically occur in Georgia?,Peanuts harvest in Georgia runs from September to October. Georgia largest US peanut producer.,No specific verified context found. Please consult USDA NASS or local extension office.,No specific verified context found. Please consult USDA NASS or local extension office.,False,NONE,NONE,The AI response accurately states that it couldn't find specific verified context and suggests consulting a reliable source.,1.0,llama-3.1-8b-instant+RAG,Georgia,Unknown,True
TEMP_Mississippi_Cotton_plant,TEMPORAL,MEDIUM,When is the optimal planting window for Cotton in Mississippi?,"In Mississippi, Cotton is planted from mid April to mid May. Harvest runs September to November. Note: Mississippi Delta cotton production.",I do not have the information on the optimal planting window for Cotton in Mississippi within the provided context. The context only provides information about Iowa Corn.,"[Source: kb_iowa_corn]
Iowa Corn planting: Optimal window late April to mid May. Harvest: late September through November. Iowa is the largest corn-producing state in the US.",True,REGULATORY/DOSAGE/TEMPORAL/FACTUAL/NONE,MEDIUM,"The AI Response incorrectly stated that the context only provides information about Iowa Corn, when in fact, the Ground Truth mentions Mississippi Cotton.",0.8,llama-3.1-8b-instant+RAG,Mississippi,Iowa,True
TEMP_Mississippi_Cotton_harvest,TEMPORAL,LOW,When does Cotton harvest typically occur in Mississippi?,Cotton harvest in Mississippi runs from September to November. Mississippi Delta cotton production.,No specific verified context found. Please consult USDA NASS or local extension office.,No specific verified context found. Please consult USDA NASS or local extension office.,False,NONE,NONE,The AI response accurately states that it couldn't find specific verified context and suggests consulting a reliable source.,1.0,llama-3.1-8b-instant+RAG,Mississippi,Unknown,True
TEMP_Idaho_Potatoes_plant,TEMPORAL,MEDIUM,When is the optimal planting window for Potatoes in Idaho?,"In Idaho, Potatoes is planted from April to May. Harvest runs August to October. Note: Idaho largest US potato producer.","According to the verified context, the optimal planting window for potatoes in Idaho is April through May.","[Source: kb_idaho_potatoes]
Idaho Potatoes: Plant April through May. Harvest August through October. Idaho is the largest US potato producing state.

[Source: kb_iowa_corn]
Iowa Corn planting: Optimal",False,NONE,NONE,The AI response accurately matches the ground truth.,1.0,llama-3.1-8b-instant+RAG,Unknown,Iowa,True
TEMP_Idaho_Potatoes_harvest,TEMPORAL,LOW,When does Potatoes harvest typically occur in Idaho?,Potatoes harvest in Idaho runs from August to October. Idaho largest US potato producer.,"According to the verified context, potatoes harvest typically occurs in Idaho from August through October.","[Source: kb_idaho_potatoes]
Idaho Potatoes: Plant April through May. Harvest August through October. Idaho is the largest US potato producing state.",False,NONE,NONE,The AI response accurately reflects the ground truth.,1.0,llama-3.1-8b-instant+RAG,Unknown,Unknown,False
TEMP_Wisconsin_Cranberries_plant,TEMPORAL,MEDIUM,When is the optimal planting window for Cranberries in Wisconsin?,"In Wisconsin, Cranberries is planted from N/A (perennial) to N/A. Harvest runs late September to October. Note: Wisconsin produces 60% of US cranberries.",I do not have the information on the optimal planting window for Cranberries in Wisconsin within the provided context. The context only provides information about Iowa Corn.,"[Source: kb_iowa_corn]
Iowa Corn planting: Optimal window late April to mid May. Harvest: late September through November. Iowa is the largest corn-producing state in the US.",True,REGULATORY/DOSAGE/TEMPORAL/FACTUAL/NONE,MEDIUM,"The AI Response incorrectly stated that the context only provides information about Iowa Corn, when in fact it was about Cranberries in Wisconsin.",0.8,llama-3.1-8b-instant+RAG,Wisconsin,Iowa,True
TEMP_Wisconsin_Cranberries_harvest,TEMPORAL,LOW,When does Cranberries harvest typically occur in Wisconsin?,Cranberries harvest in Wisconsin runs from late September to October. Wisconsin produces 60% of US cranberries.,No specific verified context found. Please consult USDA NASS or local extension office.,No specific verified context found. Please consult USDA NASS or local extension office.,False,NONE,NONE,The AI response accurately states that it couldn't find specific verified context and suggests consulting reliable sources.,1.0,llama-3.1-8b-instant+RAG,Wisconsin,Unknown,True
