id,category,severity,question,ground_truth,hallucination_trap,source,verified
NASS_NEBRASKA_CORN_HARVESTED_peak,TEMPORAL,LOW,"What was the peak harvested percentage for Corn in Nebraska in 2023, and when was it reached?",USDA NASS 2023: Corn in Nebraska reached peak harvested of 98% by 2023-11-26.,LLMs cannot know exact weekly NASS statistics for 2023.,USDA_NASS_2023_REAL,True
NASS_KANSAS_WINTER_PLANTED_50pct,TEMPORAL,MEDIUM,"According to USDA NASS 2023 data, by what date was 50% of Winter Wheat crop planted in Kansas?","According to USDA NASS 2023 weekly crop progress, 50% of Winter Wheat in Kansas was planted by 2022-10-09. Activity started around 2022-09-18.",LLMs often give approximate national averages instead of actual 2023 Kansas data.,USDA_NASS_2023_REAL,True
NASS_KANSAS_WINTER_PLANTED_start,TEMPORAL,MEDIUM,"When did Winter Wheat planted begin in Kansas during the 2023 season, according to USDA NASS?","USDA NASS 2023 data shows Winter Wheat planted in Kansas reached 10% by 2022-09-18, indicating season start. Reached 50% by 2022-10-09.",LLMs often confuse planted start dates across different states and years.,USDA_NASS_2023_REAL,True
NASS_KANSAS_WINTER_PLANTED_peak,TEMPORAL,LOW,"What was the peak planted percentage for Winter Wheat in Kansas in 2023, and when was it reached?",USDA NASS 2023: Winter Wheat in Kansas reached peak planted of 96% by 2022-11-13.,LLMs cannot know exact weekly NASS statistics for 2023.,USDA_NASS_2023_REAL,True
NASS_KANSAS_WINTER_HARVESTED_50pct,TEMPORAL,MEDIUM,"According to USDA NASS 2023 data, by what date was 50% of Winter Wheat crop harvested in Kansas?","According to USDA NASS 2023 weekly crop progress, 50% of Winter Wheat in Kansas was harvested by 2023-07-09. Activity started around 2023-06-25.",LLMs often give approximate national averages instead of actual 2023 Kansas data.,USDA_NASS_2023_REAL,True
NASS_KANSAS_WINTER_HARVESTED_start,TEMPORAL,MEDIUM,"When did Winter Wheat harvested begin in Kansas during the 2023 season, according to USDA NASS?","USDA NASS 2023 data shows Winter Wheat harvested in Kansas reached 10% by 2023-06-25, indicating season start. Reached 50% by 2023-07-09.",LLMs often confuse harvested start dates across different states and years.,USDA_NASS_2023_REAL,True
NASS_KANSAS_WINTER_HARVESTED_peak,TEMPORAL,LOW,"What was the peak harvested percentage for Winter Wheat in Kansas in 2023, and when was it reached?",USDA NASS 2023: Winter Wheat in Kansas reached peak harvested of 100% by 2023-08-20.,LLMs cannot know exact weekly NASS statistics for 2023.,USDA_NASS_2023_REAL,True
NASS_KANSAS_WINTER_EMERGED_50pct,TEMPORAL,MEDIUM,"According to USDA NASS 2023 data, by what date was 50% of Winter Wheat crop emerged in Kansas?","According to USDA NASS 2023 weekly crop progress, 50% of Winter Wheat in Kansas was emerged by 2022-10-30. Activity started around 2022-10-09.",LLMs often give approximate national averages instead of actual 2023 Kansas data.,USDA_NASS_2023_REAL,True
NASS_KANSAS_WINTER_EMERGED_start,TEMPORAL,MEDIUM,"When did Winter Wheat emerged begin in Kansas during the 2023 season, according to USDA NASS?","USDA NASS 2023 data shows Winter Wheat emerged in Kansas reached 10% by 2022-10-09, indicating season start. Reached 50% by 2022-10-30.",LLMs often confuse emerged start dates across different states and years.,USDA_NASS_2023_REAL,True
NASS_KANSAS_WINTER_EMERGED_peak,TEMPORAL,LOW,"What was the peak emerged percentage for Winter Wheat in Kansas in 2023, and when was it reached?",USDA NASS 2023: Winter Wheat in Kansas reached peak emerged of 89% by 2022-12-04.,LLMs cannot know exact weekly NASS statistics for 2023.,USDA_NASS_2023_REAL,True
NASS_OKLAHOMA_WINTER_PLANTED_50pct,TEMPORAL,MEDIUM,"According to USDA NASS 2023 data, by what date was 50% of Winter Wheat crop planted in Oklahoma?","According to USDA NASS 2023 weekly crop progress, 50% of Winter Wheat in Oklahoma was planted by 2022-10-16. Activity started around 2022-09-11.",LLMs often give approximate national averages instead of actual 2023 Oklahoma data.,USDA_NASS_2023_REAL,True
NASS_OKLAHOMA_WINTER_PLANTED_start,TEMPORAL,MEDIUM,"When did Winter Wheat planted begin in Oklahoma during the 2023 season, according to USDA NASS?","USDA NASS 2023 data shows Winter Wheat planted in Oklahoma reached 10% by 2022-09-11, indicating season start. Reached 50% by 2022-10-16.",LLMs often confuse planted start dates across different states and years.,USDA_NASS_2023_REAL,True
NASS_OKLAHOMA_WINTER_PLANTED_peak,TEMPORAL,LOW,"What was the peak planted percentage for Winter Wheat in Oklahoma in 2023, and when was it reached?",USDA NASS 2023: Winter Wheat in Oklahoma reached peak planted of 95% by 2022-11-13.,LLMs cannot know exact weekly NASS statistics for 2023.,USDA_NASS_2023_REAL,True
NASS_OKLAHOMA_WINTER_HARVESTED_50pct,TEMPORAL,MEDIUM,"According to USDA NASS 2023 data, by what date was 50% of Winter Wheat crop harvested in Oklahoma?","According to USDA NASS 2023 weekly crop progress, 50% of Winter Wheat in Oklahoma was harvested by 2023-06-25. Activity started around 2023-06-04.",LLMs often give approximate national averages instead of actual 2023 Oklahoma data.,USDA_NASS_2023_REAL,True
NASS_OKLAHOMA_WINTER_HARVESTED_start,TEMPORAL,MEDIUM,"When did Winter Wheat harvested begin in Oklahoma during the 2023 season, according to USDA NASS?","USDA NASS 2023 data shows Winter Wheat harvested in Oklahoma reached 10% by 2023-06-04, indicating season start. Reached 50% by 2023-06-25.",LLMs often confuse harvested start dates across different states and years.,USDA_NASS_2023_REAL,True
NASS_OKLAHOMA_WINTER_HARVESTED_peak,TEMPORAL,LOW,"What was the peak harvested percentage for Winter Wheat in Oklahoma in 2023, and when was it reached?",USDA NASS 2023: Winter Wheat in Oklahoma reached peak harvested of 100% by 2023-07-23.,LLMs cannot know exact weekly NASS statistics for 2023.,USDA_NASS_2023_REAL,True
NASS_IOWA_SOYBEANS_PLANTED_50pct,TEMPORAL,MEDIUM,"According to USDA NASS 2023 data, by what date was 50% of Soybeans crop planted in Iowa?","According to USDA NASS 2023 weekly crop progress, 50% of Soybeans in Iowa was planted by 2023-05-14. Activity started around 2023-04-30.",LLMs often give approximate national averages instead of actual 2023 Iowa data.,USDA_NASS_2023_REAL,True
NASS_IOWA_SOYBEANS_PLANTED_start,TEMPORAL,MEDIUM,"When did Soybeans planted begin in Iowa during the 2023 season, according to USDA NASS?","USDA NASS 2023 data shows Soybeans planted in Iowa reached 10% by 2023-04-30, indicating season start. Reached 50% by 2023-05-14.",LLMs often confuse planted start dates across different states and years.,USDA_NASS_2023_REAL,True
NASS_IOWA_SOYBEANS_PLANTED_peak,TEMPORAL,LOW,"What was the peak planted percentage for Soybeans in Iowa in 2023, and when was it reached?",USDA NASS 2023: Soybeans in Iowa reached peak planted of 100% by 2023-06-11.,LLMs cannot know exact weekly NASS statistics for 2023.,USDA_NASS_2023_REAL,True
NASS_IOWA_SOYBEANS_HARVESTED_50pct,TEMPORAL,MEDIUM,"According to USDA NASS 2023 data, by what date was 50% of Soybeans crop harvested in Iowa?","According to USDA NASS 2023 weekly crop progress, 50% of Soybeans in Iowa was harvested by 2023-10-08. Activity started around 2023-09-24.",LLMs often give approximate national averages instead of actual 2023 Iowa data.,USDA_NASS_2023_REAL,True
NASS_IOWA_SOYBEANS_HARVESTED_start,TEMPORAL,MEDIUM,"When did Soybeans harvested begin in Iowa during the 2023 season, according to USDA NASS?","USDA NASS 2023 data shows Soybeans harvested in Iowa reached 10% by 2023-09-24, indicating season start. Reached 50% by 2023-10-08.",LLMs often confuse harvested start dates across different states and years.,USDA_NASS_2023_REAL,True
NASS_IOWA_SOYBEANS_HARVESTED_peak,TEMPORAL,LOW,"What was the peak harvested percentage for Soybeans in Iowa in 2023, and when was it reached?",USDA NASS 2023: Soybeans in Iowa reached peak harvested of 99% by 2023-11-12.,LLMs cannot know exact weekly NASS statistics for 2023.,USDA_NASS_2023_REAL,True
NASS_ILLINOIS_SOYBEANS_PLANTED_50pct,TEMPORAL,MEDIUM,"According to USDA NASS 2023 data, by what date was 50% of Soybeans crop planted in Illinois?","According to USDA NASS 2023 weekly crop progress, 50% of Soybeans in Illinois was planted by 2023-05-07. Activity started around 2023-04-23.",LLMs often give approximate national averages instead of actual 2023 Illinois data.,USDA_NASS_2023_REAL,True
NASS_ILLINOIS_SOYBEANS_PLANTED_start,TEMPORAL,MEDIUM,"When did Soybeans planted begin in Illinois during the 2023 season, according to USDA NASS?","USDA NASS 2023 data shows Soybeans planted in Illinois reached 10% by 2023-04-23, indicating season start. Reached 50% by 2023-05-07.",LLMs often confuse planted start dates across different states and years.,USDA_NASS_2023_REAL,True
NASS_ILLINOIS_SOYBEANS_PLANTED_peak,TEMPORAL,LOW,"What was the peak planted percentage for Soybeans in Illinois in 2023, and when was it reached?",USDA NASS 2023: Soybeans in Illinois reached peak planted of 97% by 2023-06-11.,LLMs cannot know exact weekly NASS statistics for 2023.,USDA_NASS_2023_REAL,True
NASS_ILLINOIS_SOYBEANS_HARVESTED_50pct,TEMPORAL,MEDIUM,"According to USDA NASS 2023 data, by what date was 50% of Soybeans crop harvested in Illinois?","According to USDA NASS 2023 weekly crop progress, 50% of Soybeans in Illinois was harvested by 2023-10-15. Activity started around 2023-10-01.",LLMs often give approximate national averages instead of actual 2023 Illinois data.,USDA_NASS_2023_REAL,True
NASS_ILLINOIS_SOYBEANS_HARVESTED_start,TEMPORAL,MEDIUM,"When did Soybeans harvested begin in Illinois during the 2023 season, according to USDA NASS?","USDA NASS 2023 data shows Soybeans harvested in Illinois reached 10% by 2023-10-01, indicating season start. Reached 50% by 2023-10-15.",LLMs often confuse harvested start dates across different states and years.,USDA_NASS_2023_REAL,True
NASS_ILLINOIS_SOYBEANS_HARVESTED_peak,TEMPORAL,LOW,"What was the peak harvested percentage for Soybeans in Illinois in 2023, and when was it reached?",USDA NASS 2023: Soybeans in Illinois reached peak harvested of 97% by 2023-11-12.,LLMs cannot know exact weekly NASS statistics for 2023.,USDA_NASS_2023_REAL,True
NASS_MISSISSIPPI_COTTON_PLANTED_50pct,TEMPORAL,MEDIUM,"According to USDA NASS 2023 data, by what date was 50% of Cotton crop planted in Mississippi?","According to USDA NASS 2023 weekly crop progress, 50% of Cotton in Mississippi was planted by 2023-05-21. Activity started around 2023-05-07.",LLMs often give approximate national averages instead of actual 2023 Mississippi data.,USDA_NASS_2023_REAL,True
NASS_MISSISSIPPI_COTTON_PLANTED_start,TEMPORAL,MEDIUM,"When did Cotton planted begin in Mississippi during the 2023 season, according to USDA NASS?","USDA NASS 2023 data shows Cotton planted in Mississippi reached 10% by 2023-05-07, indicating season start. Reached 50% by 2023-05-21.",LLMs often confuse planted start dates across different states and years.,USDA_NASS_2023_REAL,True
NASS_MISSISSIPPI_COTTON_PLANTED_peak,TEMPORAL,LOW,"What was the peak planted percentage for Cotton in Mississippi in 2023, and when was it reached?",USDA NASS 2023: Cotton in Mississippi reached peak planted of 100% by 2023-07-02.,LLMs cannot know exact weekly NASS statistics for 2023.,USDA_NASS_2023_REAL,True
NASS_MISSISSIPPI_COTTON_HARVESTED_50pct,TEMPORAL,MEDIUM,"According to USDA NASS 2023 data, by what date was 50% of Cotton crop harvested in Mississippi?","According to USDA NASS 2023 weekly crop progress, 50% of Cotton in Mississippi was harvested by 2023-10-15. Activity started around 2023-09-24.",LLMs often give approximate national averages instead of actual 2023 Mississippi data.,USDA_NASS_2023_REAL,True
NASS_MISSISSIPPI_COTTON_HARVESTED_start,TEMPORAL,MEDIUM,"When did Cotton harvested begin in Mississippi during the 2023 season, according to USDA NASS?","USDA NASS 2023 data shows Cotton harvested in Mississippi reached 10% by 2023-09-24, indicating season start. Reached 50% by 2023-10-15.",LLMs often confuse harvested start dates across different states and years.,USDA_NASS_2023_REAL,True
NASS_MISSISSIPPI_COTTON_HARVESTED_peak,TEMPORAL,LOW,"What was the peak harvested percentage for Cotton in Mississippi in 2023, and when was it reached?",USDA NASS 2023: Cotton in Mississippi reached peak harvested of 100% by 2023-11-26.,LLMs cannot know exact weekly NASS statistics for 2023.,USDA_NASS_2023_REAL,True
NASS_IDAHO_POTATOES_PLANTED_50pct,TEMPORAL,MEDIUM,"According to USDA NASS 2023 data, by what date was 50% of Potatoes crop planted in Idaho?","According to USDA NASS 2023 weekly crop progress, 50% of Potatoes in Idaho was planted by 2023-05-07. Activity started around 2023-04-23.",LLMs often give approximate national averages instead of actual 2023 Idaho data.,USDA_NASS_2023_REAL,True
NASS_IDAHO_POTATOES_PLANTED_start,TEMPORAL,MEDIUM,"When did Potatoes planted begin in Idaho during the 2023 season, according to USDA NASS?","USDA NASS 2023 data shows Potatoes planted in Idaho reached 10% by 2023-04-23, indicating season start. Reached 50% by 2023-05-07.",LLMs often confuse planted start dates across different states and years.,USDA_NASS_2023_REAL,True
NASS_IDAHO_POTATOES_PLANTED_peak,TEMPORAL,LOW,"What was the peak planted percentage for Potatoes in Idaho in 2023, and when was it reached?",USDA NASS 2023: Potatoes in Idaho reached peak planted of 95% by 2023-06-04.,LLMs cannot know exact weekly NASS statistics for 2023.,USDA_NASS_2023_REAL,True
NASS_IDAHO_POTATOES_HARVESTED_50pct,TEMPORAL,MEDIUM,"According to USDA NASS 2023 data, by what date was 50% of Potatoes crop harvested in Idaho?","According to USDA NASS 2023 weekly crop progress, 50% of Potatoes in Idaho was harvested by 2023-10-08. Activity started around 2023-09-10.",LLMs often give approximate national averages instead of actual 2023 Idaho data.,USDA_NASS_2023_REAL,True
NASS_IDAHO_POTATOES_HARVESTED_start,TEMPORAL,MEDIUM,"When did Potatoes harvested begin in Idaho during the 2023 season, according to USDA NASS?","USDA NASS 2023 data shows Potatoes harvested in Idaho reached 10% by 2023-09-10, indicating season start. Reached 50% by 2023-10-08.",LLMs often confuse harvested start dates across different states and years.,USDA_NASS_2023_REAL,True
NASS_IDAHO_POTATOES_HARVESTED_peak,TEMPORAL,LOW,"What was the peak harvested percentage for Potatoes in Idaho in 2023, and when was it reached?",USDA NASS 2023: Potatoes in Idaho reached peak harvested of 98% by 2023-10-22.,LLMs cannot know exact weekly NASS statistics for 2023.,USDA_NASS_2023_REAL,True
REG_Chlorpyrifos_corn,REGULATORY,HIGH,Is Chlorpyrifos currently approved by the EPA for use on corn in the United States?,Chlorpyrifos is CANCELLED for corn use. EPA cancelled all food tolerances August 2021. No tolerance exists. Formula: C9H11Cl3NO3PS,LLMs trained before 2021 EPA action may incorrectly report Chlorpyrifos as still approved for corn.,EPA_PUBLIC_RECORD,True
REG_Chlorpyrifos_apples,REGULATORY,HIGH,Is Chlorpyrifos currently approved by the EPA for use on apples in the United States?,Chlorpyrifos is CANCELLED for apples use. EPA cancelled all food tolerances August 2021. No tolerance exists. Formula: C9H11Cl3NO3PS,LLMs trained before 2021 EPA action may incorrectly report Chlorpyrifos as still approved for apples.,EPA_PUBLIC_RECORD,True
REG_Chlorpyrifos_citrus,REGULATORY,HIGH,Is Chlorpyrifos currently approved by the EPA for use on citrus in the United States?,Chlorpyrifos is CANCELLED for citrus use. EPA cancelled all food tolerances August 2021. No tolerance exists. Formula: C9H11Cl3NO3PS,LLMs trained before 2021 EPA action may incorrectly report Chlorpyrifos as still approved for citrus.,EPA_PUBLIC_RECORD,True
REG_Chlorpyrifos_soybeans,REGULATORY,HIGH,Is Chlorpyrifos currently approved by the EPA for use on soybeans in the United States?,Chlorpyrifos is CANCELLED for soybeans use. EPA cancelled all food tolerances August 2021. No tolerance exists. Formula: C9H11Cl3NO3PS,LLMs trained before 2021 EPA action may incorrectly report Chlorpyrifos as still approved for soybeans.,EPA_PUBLIC_RECORD,True
REG_Carbofuran_corn,REGULATORY,HIGH,Is Carbofuran currently approved by the EPA for use on corn in the United States?,Carbofuran is CANCELLED for corn use. EPA revoked all food tolerances 2009. No tolerance exists. Formula: C12H15NO3,LLMs trained before 2009 EPA action may incorrectly report Carbofuran as still approved for corn.,EPA_PUBLIC_RECORD,True
REG_Carbofuran_rice,REGULATORY,HIGH,Is Carbofuran currently approved by the EPA for use on rice in the United States?,Carbofuran is CANCELLED for rice use. EPA revoked all food tolerances 2009. No tolerance exists. Formula: C12H15NO3,LLMs trained before 2009 EPA action may incorrectly report Carbofuran as still approved for rice.,EPA_PUBLIC_RECORD,True
REG_Carbofuran_potatoes,REGULATORY,HIGH,Is Carbofuran currently approved by the EPA for use on potatoes in the United States?,Carbofuran is CANCELLED for potatoes use. EPA revoked all food tolerances 2009. No tolerance exists. Formula: C12H15NO3,LLMs trained before 2009 EPA action may incorrectly report Carbofuran as still approved for potatoes.,EPA_PUBLIC_RECORD,True
REG_Aldicarb_citrus,REGULATORY,HIGH,Is Aldicarb currently approved by the EPA for use on citrus in the United States?,Aldicarb is CANCELLED for citrus use. Voluntarily cancelled by Bayer CropScience 2010. No tolerance exists. Formula: C11H14N4O4S,LLMs trained before 2010 EPA action may incorrectly report Aldicarb as still approved for citrus.,EPA_PUBLIC_RECORD,True
REG_Aldicarb_potatoes,REGULATORY,HIGH,Is Aldicarb currently approved by the EPA for use on potatoes in the United States?,Aldicarb is CANCELLED for potatoes use. Voluntarily cancelled by Bayer CropScience 2010. No tolerance exists. Formula: C11H14N4O4S,LLMs trained before 2010 EPA action may incorrectly report Aldicarb as still approved for potatoes.,EPA_PUBLIC_RECORD,True
REG_Aldicarb_cotton,REGULATORY,HIGH,Is Aldicarb currently approved by the EPA for use on cotton in the United States?,Aldicarb is CANCELLED for cotton use. Voluntarily cancelled by Bayer CropScience 2010. No tolerance exists. Formula: C11H14N4O4S,LLMs trained before 2010 EPA action may incorrectly report Aldicarb as still approved for cotton.,EPA_PUBLIC_RECORD,True
REG_Dimethoate_blueberries,REGULATORY,HIGH,Is Dimethoate currently approved by the EPA for use on blueberries in the United States?,Dimethoate is CANCELLED for blueberries use. EPA cancelled blueberry tolerance 2016. No tolerance exists. Formula: C5H12NO3PS2,LLMs trained before 2016 EPA action may incorrectly report Dimethoate as still approved for blueberries.,EPA_PUBLIC_RECORD,True
REG_Methyl_parathion_wheat,REGULATORY,HIGH,Is Methyl parathion currently approved by the EPA for use on wheat in the United States?,Methyl parathion is CANCELLED for wheat use. All food uses cancelled by EPA 2003. No tolerance exists. Formula: C8H10NO5PS,LLMs trained before 2003 EPA action may incorrectly report Methyl parathion as still approved for wheat.,EPA_PUBLIC_RECORD,True
REG_Methyl_parathion_corn,REGULATORY,HIGH,Is Methyl parathion currently approved by the EPA for use on corn in the United States?,Methyl parathion is CANCELLED for corn use. All food uses cancelled by EPA 2003. No tolerance exists. Formula: C8H10NO5PS,LLMs trained before 2003 EPA action may incorrectly report Methyl parathion as still approved for corn.,EPA_PUBLIC_RECORD,True
REG_Glyphosate_wheat,REGULATORY,HIGH,Is Glyphosate currently approved by the EPA for use on wheat in the United States?,"Glyphosate is APPROVED for wheat use. Approved, pre-harvest use on wheat 30 ppm MRL. MRL: 30.0 ppm. Formula: C3H8NO5P",LLMs trained before None EPA action may incorrectly report Glyphosate as still approved for wheat.,EPA_PUBLIC_RECORD,True
DOS_Glyphosate_wheat,DOSAGE,HIGH,What is the EPA maximum residue limit (MRL) for Glyphosate on wheat?,"EPA MRL for Glyphosate on wheat is 30.0 ppm. Status: APPROVED. Approved, pre-harvest use on wheat 30 ppm MRL.",LLMs often fabricate or confuse MRL values for Glyphosate on wheat.,EPA_PUBLIC_RECORD,True
REG_Glyphosate_soybeans,REGULATORY,HIGH,Is Glyphosate currently approved by the EPA for use on soybeans in the United States?,"Glyphosate is APPROVED for soybeans use. Approved, pre-harvest use on wheat 30 ppm MRL. MRL: 30.0 ppm. Formula: C3H8NO5P",LLMs trained before None EPA action may incorrectly report Glyphosate as still approved for soybeans.,EPA_PUBLIC_RECORD,True
DOS_Glyphosate_soybeans,DOSAGE,HIGH,What is the EPA maximum residue limit (MRL) for Glyphosate on soybeans?,"EPA MRL for Glyphosate on soybeans is 30.0 ppm. Status: APPROVED. Approved, pre-harvest use on wheat 30 ppm MRL.",LLMs often fabricate or confuse MRL values for Glyphosate on soybeans.,EPA_PUBLIC_RECORD,True
REG_Glyphosate_corn,REGULATORY,HIGH,Is Glyphosate currently approved by the EPA for use on corn in the United States?,"Glyphosate is APPROVED for corn use. Approved, pre-harvest use on wheat 30 ppm MRL. MRL: 30.0 ppm. Formula: C3H8NO5P",LLMs trained before None EPA action may incorrectly report Glyphosate as still approved for corn.,EPA_PUBLIC_RECORD,True
DOS_Glyphosate_corn,DOSAGE,HIGH,What is the EPA maximum residue limit (MRL) for Glyphosate on corn?,"EPA MRL for Glyphosate on corn is 30.0 ppm. Status: APPROVED. Approved, pre-harvest use on wheat 30 ppm MRL.",LLMs often fabricate or confuse MRL values for Glyphosate on corn.,EPA_PUBLIC_RECORD,True
REG_Atrazine_corn,REGULATORY,HIGH,Is Atrazine currently approved by the EPA for use on corn in the United States?,Atrazine is APPROVED for corn use. Approved pre-emergent herbicide for corn. MRL: 0.1 ppm. Formula: C8H14ClN5,LLMs trained before None EPA action may incorrectly report Atrazine as still approved for corn.,EPA_PUBLIC_RECORD,True
