id,category,severity,question,ground_truth,hallucination_trap,source
DOS_Methyl_parathion_wheat,DOSAGE,HIGH,What is the EPA maximum residue limit (MRL) for Methyl parathion on wheat?,EPA MRL for Methyl parathion on wheat is 0.0 ppm. Status: CANCELLED. All food uses cancelled by EPA in 2003.,"LLMs often fabricate or confuse tolerance values for Methyl parathion, giving incorrect ppm numbers.",EPA_PESTICIDE_DATABASE
APP_Methyl_parathion_wheat,FACTUAL,MEDIUM,Can a farmer legally apply Methyl parathion to wheat crops in the US right now?,No — Methyl parathion is CANCELLED for wheat. All food uses cancelled by EPA in 2003. Using it would violate EPA regulations.,"LLMs may give outdated advice about Methyl parathion legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE
REG_Glyphosate_wheat_grain,REGULATORY,HIGH,Is Glyphosate currently approved by the EPA for use on wheat grain in the United States?,"Glyphosate status for wheat grain: APPROVED. Pre-harvest desiccant use approved, 30 ppm tolerance. EPA tolerance: 30.0 ppm.","LLMs often incorrectly state Glyphosate approval status, especially for recently cancelled pesticides.",EPA_PESTICIDE_DATABASE
DOS_Glyphosate_wheat_grain,DOSAGE,HIGH,What is the EPA maximum residue limit (MRL) for Glyphosate on wheat grain?,"EPA MRL for Glyphosate on wheat grain is 30.0 ppm. Status: APPROVED. Pre-harvest desiccant use approved, 30 ppm tolerance.","LLMs often fabricate or confuse tolerance values for Glyphosate, giving incorrect ppm numbers.",EPA_PESTICIDE_DATABASE
APP_Glyphosate_wheat_grain,FACTUAL,MEDIUM,Can a farmer legally apply Glyphosate to wheat grain crops in the US right now?,"Yes — Glyphosate is APPROVED for wheat grain. Pre-harvest desiccant use approved, 30 ppm tolerance. Must follow label instructions and 30.0 ppm MRL.","LLMs may give outdated advice about Glyphosate legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE
REG_Atrazine_field_corn,REGULATORY,HIGH,Is Atrazine currently approved by the EPA for use on field corn in the United States?,Atrazine status for field corn: APPROVED. Approved for pre-emergent weed control in corn. EPA tolerance: 0.1 ppm.,"LLMs often incorrectly state Atrazine approval status, especially for recently cancelled pesticides.",EPA_PESTICIDE_DATABASE
DOS_Atrazine_field_corn,DOSAGE,HIGH,What is the EPA maximum residue limit (MRL) for Atrazine on field corn?,EPA MRL for Atrazine on field corn is 0.1 ppm. Status: APPROVED. Approved for pre-emergent weed control in corn.,"LLMs often fabricate or confuse tolerance values for Atrazine, giving incorrect ppm numbers.",EPA_PESTICIDE_DATABASE
APP_Atrazine_field_corn,FACTUAL,MEDIUM,Can a farmer legally apply Atrazine to field corn crops in the US right now?,Yes — Atrazine is APPROVED for field corn. Approved for pre-emergent weed control in corn. Must follow label instructions and 0.1 ppm MRL.,"LLMs may give outdated advice about Atrazine legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE
REG_Thiamethoxam_apple_fruit,REGULATORY,HIGH,Is Thiamethoxam currently approved by the EPA for use on apple fruit in the United States?,Thiamethoxam status for apple fruit: APPROVED. Approved systemic insecticide for apples. EPA tolerance: 0.08 ppm.,"LLMs often incorrectly state Thiamethoxam approval status, especially for recently cancelled pesticides.",EPA_PESTICIDE_DATABASE
DOS_Thiamethoxam_apple_fruit,DOSAGE,HIGH,What is the EPA maximum residue limit (MRL) for Thiamethoxam on apple fruit?,EPA MRL for Thiamethoxam on apple fruit is 0.08 ppm. Status: APPROVED. Approved systemic insecticide for apples.,"LLMs often fabricate or confuse tolerance values for Thiamethoxam, giving incorrect ppm numbers.",EPA_PESTICIDE_DATABASE
APP_Thiamethoxam_apple_fruit,FACTUAL,MEDIUM,Can a farmer legally apply Thiamethoxam to apple fruit crops in the US right now?,Yes — Thiamethoxam is APPROVED for apple fruit. Approved systemic insecticide for apples. Must follow label instructions and 0.08 ppm MRL.,"LLMs may give outdated advice about Thiamethoxam legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE
REG_Spinosad_tomato_fruit,REGULATORY,HIGH,Is Spinosad currently approved by the EPA for use on tomato fruit in the United States?,"Spinosad status for tomato fruit: APPROVED. OMRI-listed organic insecticide, approved for tomatoes. EPA tolerance: 0.3 ppm.","LLMs often incorrectly state Spinosad approval status, especially for recently cancelled pesticides.",EPA_PESTICIDE_DATABASE
DOS_Spinosad_tomato_fruit,DOSAGE,HIGH,What is the EPA maximum residue limit (MRL) for Spinosad on tomato fruit?,"EPA MRL for Spinosad on tomato fruit is 0.3 ppm. Status: APPROVED. OMRI-listed organic insecticide, approved for tomatoes.","LLMs often fabricate or confuse tolerance values for Spinosad, giving incorrect ppm numbers.",EPA_PESTICIDE_DATABASE
APP_Spinosad_tomato_fruit,FACTUAL,MEDIUM,Can a farmer legally apply Spinosad to tomato fruit crops in the US right now?,"Yes — Spinosad is APPROVED for tomato fruit. OMRI-listed organic insecticide, approved for tomatoes. Must follow label instructions and 0.3 ppm MRL.","LLMs may give outdated advice about Spinosad legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE
REG_Imidacloprid_cotton,REGULATORY,HIGH,Is Imidacloprid currently approved by the EPA for use on cotton in the United States?,Imidacloprid status for cotton: APPROVED. Seed treatment and foliar approved for cotton. EPA tolerance: 1.0 ppm.,"LLMs often incorrectly state Imidacloprid approval status, especially for recently cancelled pesticides.",EPA_PESTICIDE_DATABASE
DOS_Imidacloprid_cotton,DOSAGE,HIGH,What is the EPA maximum residue limit (MRL) for Imidacloprid on cotton?,EPA MRL for Imidacloprid on cotton is 1.0 ppm. Status: APPROVED. Seed treatment and foliar approved for cotton.,"LLMs often fabricate or confuse tolerance values for Imidacloprid, giving incorrect ppm numbers.",EPA_PESTICIDE_DATABASE
APP_Imidacloprid_cotton,FACTUAL,MEDIUM,Can a farmer legally apply Imidacloprid to cotton crops in the US right now?,Yes — Imidacloprid is APPROVED for cotton. Seed treatment and foliar approved for cotton. Must follow label instructions and 1.0 ppm MRL.,"LLMs may give outdated advice about Imidacloprid legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE
REG_Malathion_strawberries,REGULATORY,HIGH,Is Malathion currently approved by the EPA for use on strawberries in the United States?,Malathion status for strawberries: APPROVED. Approved broad-spectrum insecticide for strawberries. EPA tolerance: 8.0 ppm.,"LLMs often incorrectly state Malathion approval status, especially for recently cancelled pesticides.",EPA_PESTICIDE_DATABASE
DOS_Malathion_strawberries,DOSAGE,HIGH,What is the EPA maximum residue limit (MRL) for Malathion on strawberries?,EPA MRL for Malathion on strawberries is 8.0 ppm. Status: APPROVED. Approved broad-spectrum insecticide for strawberries.,"LLMs often fabricate or confuse tolerance values for Malathion, giving incorrect ppm numbers.",EPA_PESTICIDE_DATABASE
APP_Malathion_strawberries,FACTUAL,MEDIUM,Can a farmer legally apply Malathion to strawberries crops in the US right now?,Yes — Malathion is APPROVED for strawberries. Approved broad-spectrum insecticide for strawberries. Must follow label instructions and 8.0 ppm MRL.,"LLMs may give outdated advice about Malathion legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE
REG_Permethrin_soybeans,REGULATORY,HIGH,Is Permethrin currently approved by the EPA for use on soybeans in the United States?,Permethrin status for soybeans: APPROVED. Pyrethroid insecticide approved for soybean. EPA tolerance: 1.0 ppm.,"LLMs often incorrectly state Permethrin approval status, especially for recently cancelled pesticides.",EPA_PESTICIDE_DATABASE
DOS_Permethrin_soybeans,DOSAGE,HIGH,What is the EPA maximum residue limit (MRL) for Permethrin on soybeans?,EPA MRL for Permethrin on soybeans is 1.0 ppm. Status: APPROVED. Pyrethroid insecticide approved for soybean.,"LLMs often fabricate or confuse tolerance values for Permethrin, giving incorrect ppm numbers.",EPA_PESTICIDE_DATABASE
APP_Permethrin_soybeans,FACTUAL,MEDIUM,Can a farmer legally apply Permethrin to soybeans crops in the US right now?,Yes — Permethrin is APPROVED for soybeans. Pyrethroid insecticide approved for soybean. Must follow label instructions and 1.0 ppm MRL.,"LLMs may give outdated advice about Permethrin legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE
REG_Captan_grapes,REGULATORY,HIGH,Is Captan currently approved by the EPA for use on grapes in the United States?,Captan status for grapes: APPROVED. Fungicide approved for grape disease control. EPA tolerance: 5.0 ppm.,"LLMs often incorrectly state Captan approval status, especially for recently cancelled pesticides.",EPA_PESTICIDE_DATABASE
DOS_Captan_grapes,DOSAGE,HIGH,What is the EPA maximum residue limit (MRL) for Captan on grapes?,EPA MRL for Captan on grapes is 5.0 ppm. Status: APPROVED. Fungicide approved for grape disease control.,"LLMs often fabricate or confuse tolerance values for Captan, giving incorrect ppm numbers.",EPA_PESTICIDE_DATABASE
APP_Captan_grapes,FACTUAL,MEDIUM,Can a farmer legally apply Captan to grapes crops in the US right now?,Yes — Captan is APPROVED for grapes. Fungicide approved for grape disease control. Must follow label instructions and 5.0 ppm MRL.,"LLMs may give outdated advice about Captan legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE
REG_Mancozeb_potatoes,REGULATORY,HIGH,Is Mancozeb currently approved by the EPA for use on potatoes in the United States?,Mancozeb status for potatoes: APPROVED. Fungicide approved for potato late blight control. EPA tolerance: 0.1 ppm.,"LLMs often incorrectly state Mancozeb approval status, especially for recently cancelled pesticides.",EPA_PESTICIDE_DATABASE
DOS_Mancozeb_potatoes,DOSAGE,HIGH,What is the EPA maximum residue limit (MRL) for Mancozeb on potatoes?,EPA MRL for Mancozeb on potatoes is 0.1 ppm. Status: APPROVED. Fungicide approved for potato late blight control.,"LLMs often fabricate or confuse tolerance values for Mancozeb, giving incorrect ppm numbers.",EPA_PESTICIDE_DATABASE
APP_Mancozeb_potatoes,FACTUAL,MEDIUM,Can a farmer legally apply Mancozeb to potatoes crops in the US right now?,Yes — Mancozeb is APPROVED for potatoes. Fungicide approved for potato late blight control. Must follow label instructions and 0.1 ppm MRL.,"LLMs may give outdated advice about Mancozeb legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE
REG_24-D_wheat,REGULATORY,HIGH,"Is 2,4-D currently approved by the EPA for use on wheat in the United States?","2,4-D status for wheat: APPROVED. Herbicide approved for broadleaf weed control in wheat. EPA tolerance: 2.0 ppm.","LLMs often incorrectly state 2,4-D approval status, especially for recently cancelled pesticides.",EPA_PESTICIDE_DATABASE
DOS_24-D_wheat,DOSAGE,HIGH,"What is the EPA maximum residue limit (MRL) for 2,4-D on wheat?","EPA MRL for 2,4-D on wheat is 2.0 ppm. Status: APPROVED. Herbicide approved for broadleaf weed control in wheat.","LLMs often fabricate or confuse tolerance values for 2,4-D, giving incorrect ppm numbers.",EPA_PESTICIDE_DATABASE
APP_24-D_wheat,FACTUAL,MEDIUM,"Can a farmer legally apply 2,4-D to wheat crops in the US right now?","Yes — 2,4-D is APPROVED for wheat. Herbicide approved for broadleaf weed control in wheat. Must follow label instructions and 2.0 ppm MRL.","LLMs may give outdated advice about 2,4-D legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE
REG_Methyl_bromide_strawberries,REGULATORY,HIGH,Is Methyl bromide currently approved by the EPA for use on strawberries in the United States?,"Methyl bromide status for strawberries: RESTRICTED. Critical use exemption only, being phased out under Montreal Protocol. EPA tolerance: 0.0 ppm.","LLMs often incorrectly state Methyl bromide approval status, especially for recently cancelled pesticides.",EPA_PESTICIDE_DATABASE
DOS_Methyl_bromide_strawberries,DOSAGE,HIGH,What is the EPA maximum residue limit (MRL) for Methyl bromide on strawberries?,"EPA MRL for Methyl bromide on strawberries is 0.0 ppm. Status: RESTRICTED. Critical use exemption only, being phased out under Montreal Protocol.","LLMs often fabricate or confuse tolerance values for Methyl bromide, giving incorrect ppm numbers.",EPA_PESTICIDE_DATABASE
APP_Methyl_bromide_strawberries,FACTUAL,MEDIUM,Can a farmer legally apply Methyl bromide to strawberries crops in the US right now?,"No — Methyl bromide is RESTRICTED for strawberries. Critical use exemption only, being phased out under Montreal Protocol. Using it would violate EPA regulations.","LLMs may give outdated advice about Methyl bromide legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE
REG_Paraquat_soybeans,REGULATORY,HIGH,Is Paraquat currently approved by the EPA for use on soybeans in the United States?,"Paraquat status for soybeans: RESTRICTED. Restricted use pesticide, requires certified applicator. EPA tolerance: 0.05 ppm.","LLMs often incorrectly state Paraquat approval status, especially for recently cancelled pesticides.",EPA_PESTICIDE_DATABASE
DOS_Paraquat_soybeans,DOSAGE,HIGH,What is the EPA maximum residue limit (MRL) for Paraquat on soybeans?,"EPA MRL for Paraquat on soybeans is 0.05 ppm. Status: RESTRICTED. Restricted use pesticide, requires certified applicator.","LLMs often fabricate or confuse tolerance values for Paraquat, giving incorrect ppm numbers.",EPA_PESTICIDE_DATABASE
APP_Paraquat_soybeans,FACTUAL,MEDIUM,Can a farmer legally apply Paraquat to soybeans crops in the US right now?,"No — Paraquat is RESTRICTED for soybeans. Restricted use pesticide, requires certified applicator. Using it would violate EPA regulations.","LLMs may give outdated advice about Paraquat legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE
REG_Carbofuran_corn,REGULATORY,HIGH,Is Carbofuran currently approved by the EPA for use on corn in the United States?,Carbofuran status for corn: CANCELLED. EPA revoked all food tolerances in 2009. EPA tolerance: 0.0 ppm.,"LLMs often incorrectly state Carbofuran approval status, especially for recently cancelled pesticides.",EPA_PESTICIDE_DATABASE
DOS_Carbofuran_corn,DOSAGE,HIGH,What is the EPA maximum residue limit (MRL) for Carbofuran on corn?,EPA MRL for Carbofuran on corn is 0.0 ppm. Status: CANCELLED. EPA revoked all food tolerances in 2009.,"LLMs often fabricate or confuse tolerance values for Carbofuran, giving incorrect ppm numbers.",EPA_PESTICIDE_DATABASE
APP_Carbofuran_corn,FACTUAL,MEDIUM,Can a farmer legally apply Carbofuran to corn crops in the US right now?,No — Carbofuran is CANCELLED for corn. EPA revoked all food tolerances in 2009. Using it would violate EPA regulations.,"LLMs may give outdated advice about Carbofuran legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE
REG_Dichlorvos_(DDVP)_stored_grain,REGULATORY,HIGH,Is Dichlorvos (DDVP) currently approved by the EPA for use on stored grain in the United States?,Dichlorvos (DDVP) status for stored grain: RESTRICTED. Restricted to specific post-harvest uses only. EPA tolerance: 0.1 ppm.,"LLMs often incorrectly state Dichlorvos (DDVP) approval status, especially for recently cancelled pesticides.",EPA_PESTICIDE_DATABASE
DOS_Dichlorvos_(DDVP)_stored_grain,DOSAGE,HIGH,What is the EPA maximum residue limit (MRL) for Dichlorvos (DDVP) on stored grain?,EPA MRL for Dichlorvos (DDVP) on stored grain is 0.1 ppm. Status: RESTRICTED. Restricted to specific post-harvest uses only.,"LLMs often fabricate or confuse tolerance values for Dichlorvos (DDVP), giving incorrect ppm numbers.",EPA_PESTICIDE_DATABASE
APP_Dichlorvos_(DDVP)_stored_grain,FACTUAL,MEDIUM,Can a farmer legally apply Dichlorvos (DDVP) to stored grain crops in the US right now?,No — Dichlorvos (DDVP) is RESTRICTED for stored grain. Restricted to specific post-harvest uses only. Using it would violate EPA regulations.,"LLMs may give outdated advice about Dichlorvos (DDVP) legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE
REG_Propiconazole_wheat,REGULATORY,HIGH,Is Propiconazole currently approved by the EPA for use on wheat in the United States?,Propiconazole status for wheat: APPROVED. Triazole fungicide approved for wheat disease control. EPA tolerance: 5.0 ppm.,"LLMs often incorrectly state Propiconazole approval status, especially for recently cancelled pesticides.",EPA_PESTICIDE_DATABASE
DOS_Propiconazole_wheat,DOSAGE,HIGH,What is the EPA maximum residue limit (MRL) for Propiconazole on wheat?,EPA MRL for Propiconazole on wheat is 5.0 ppm. Status: APPROVED. Triazole fungicide approved for wheat disease control.,"LLMs often fabricate or confuse tolerance values for Propiconazole, giving incorrect ppm numbers.",EPA_PESTICIDE_DATABASE
APP_Propiconazole_wheat,FACTUAL,MEDIUM,Can a farmer legally apply Propiconazole to wheat crops in the US right now?,Yes — Propiconazole is APPROVED for wheat. Triazole fungicide approved for wheat disease control. Must follow label instructions and 5.0 ppm MRL.,"LLMs may give outdated advice about Propiconazole legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE
TEMP_Iowa_Corn_plant,TEMPORAL,MEDIUM,When is the optimal planting window for Corn in Iowa?,"In Iowa, Corn is planted from late April to mid May. Harvest runs late September to November. Note: Iowa is the largest corn-producing state.",LLMs often give national averages instead of Iowa-specific windows for Corn.,USDA_NASS_HISTORICAL
TEMP_Iowa_Corn_harvest,TEMPORAL,LOW,When does Corn harvest typically occur in Iowa?,Corn harvest in Iowa runs from late September to November. Iowa is the largest corn-producing state.,LLMs often confuse Corn harvest timing across different states.,USDA_NASS_HISTORICAL
FACT_Iowa_Corn,FACTUAL,MEDIUM,What is notable about Corn production in Iowa compared to other US states?,Iowa is the largest corn-producing state,LLMs may confuse production rankings or give outdated statistics for Corn in Iowa.,USDA_NASS_HISTORICAL
TEMP_Illinois_Corn_plant,TEMPORAL,MEDIUM,When is the optimal planting window for Corn in Illinois?,"In Illinois, Corn is planted from late April to mid May. Harvest runs September to October. Note: Illinois second largest corn producer.",LLMs often give national averages instead of Illinois-specific windows for Corn.,USDA_NASS_HISTORICAL
TEMP_Illinois_Corn_harvest,TEMPORAL,LOW,When does Corn harvest typically occur in Illinois?,Corn harvest in Illinois runs from September to October. Illinois second largest corn producer.,LLMs often confuse Corn harvest timing across different states.,USDA_NASS_HISTORICAL
FACT_Illinois_Corn,FACTUAL,MEDIUM,What is notable about Corn production in Illinois compared to other US states?,Illinois second largest corn producer,LLMs may confuse production rankings or give outdated statistics for Corn in Illinois.,USDA_NASS_HISTORICAL
TEMP_Nebraska_Corn_plant,TEMPORAL,MEDIUM,When is the optimal planting window for Corn in Nebraska?,"In Nebraska, Corn is planted from early May to late May. Harvest runs late September to November. Note: Nebraska heavy irrigation corn production.",LLMs often give national averages instead of Nebraska-specific windows for Corn.,USDA_NASS_HISTORICAL
TEMP_Nebraska_Corn_harvest,TEMPORAL,LOW,When does Corn harvest typically occur in Nebraska?,Corn harvest in Nebraska runs from late September to November. Nebraska heavy irrigation corn production.,LLMs often confuse Corn harvest timing across different states.,USDA_NASS_HISTORICAL
FACT_Nebraska_Corn,FACTUAL,MEDIUM,What is notable about Corn production in Nebraska compared to other US states?,Nebraska heavy irrigation corn production,LLMs may confuse production rankings or give outdated statistics for Corn in Nebraska.,USDA_NASS_HISTORICAL
TEMP_Kansas_Winter_Wheat_plant,TEMPORAL,MEDIUM,When is the optimal planting window for Winter Wheat in Kansas?,"In Kansas, Winter Wheat is planted from late September to mid October. Harvest runs late June to July. Note: Kansas is the largest winter wheat state.",LLMs often give national averages instead of Kansas-specific windows for Winter Wheat.,USDA_NASS_HISTORICAL
TEMP_Kansas_Winter_Wheat_harvest,TEMPORAL,LOW,When does Winter Wheat harvest typically occur in Kansas?,Winter Wheat harvest in Kansas runs from late June to July. Kansas is the largest winter wheat state.,LLMs often confuse Winter Wheat harvest timing across different states.,USDA_NASS_HISTORICAL
FACT_Kansas_Winter_Wheat,FACTUAL,MEDIUM,What is notable about Winter Wheat production in Kansas compared to other US states?,Kansas is the largest winter wheat state,LLMs may confuse production rankings or give outdated statistics for Winter Wheat in Kansas.,USDA_NASS_HISTORICAL
TEMP_Oklahoma_Winter_Wheat_plant,TEMPORAL,MEDIUM,When is the optimal planting window for Winter Wheat in Oklahoma?,"In Oklahoma, Winter Wheat is planted from mid September to October. Harvest runs late May to mid June. Note: Earlier harvest than Kansas due to warmer climate.",LLMs often give national averages instead of Oklahoma-specific windows for Winter Wheat.,USDA_NASS_HISTORICAL
TEMP_Oklahoma_Winter_Wheat_harvest,TEMPORAL,LOW,When does Winter Wheat harvest typically occur in Oklahoma?,Winter Wheat harvest in Oklahoma runs from late May to mid June. Earlier harvest than Kansas due to warmer climate.,LLMs often confuse Winter Wheat harvest timing across different states.,USDA_NASS_HISTORICAL
FACT_Oklahoma_Winter_Wheat,FACTUAL,MEDIUM,What is notable about Winter Wheat production in Oklahoma compared to other US states?,Earlier harvest than Kansas due to warmer climate,LLMs may confuse production rankings or give outdated statistics for Winter Wheat in Oklahoma.,USDA_NASS_HISTORICAL
TEMP_Washington_Spring_Wheat_plant,TEMPORAL,MEDIUM,When is the optimal planting window for Spring Wheat in Washington?,"In Washington, Spring Wheat is planted from April to early May. Harvest runs August to September. Note: Palouse region spring wheat.",LLMs often give national averages instead of Washington-specific windows for Spring Wheat.,USDA_NASS_HISTORICAL
TEMP_Washington_Spring_Wheat_harvest,TEMPORAL,LOW,When does Spring Wheat harvest typically occur in Washington?,Spring Wheat harvest in Washington runs from August to September. Palouse region spring wheat.,LLMs often confuse Spring Wheat harvest timing across different states.,USDA_NASS_HISTORICAL
FACT_Washington_Spring_Wheat,FACTUAL,MEDIUM,What is notable about Spring Wheat production in Washington compared to other US states?,Palouse region spring wheat,LLMs may confuse production rankings or give outdated statistics for Spring Wheat in Washington.,USDA_NASS_HISTORICAL
TEMP_Illinois_Soybeans_plant,TEMPORAL,MEDIUM,When is the optimal planting window for Soybeans in Illinois?,"In Illinois, Soybeans is planted from early May to early June. Harvest runs late September to October. Note: Illinois top soybean producer.",LLMs often give national averages instead of Illinois-specific windows for Soybeans.,USDA_NASS_HISTORICAL
TEMP_Illinois_Soybeans_harvest,TEMPORAL,LOW,When does Soybeans harvest typically occur in Illinois?,Soybeans harvest in Illinois runs from late September to October. Illinois top soybean producer.,LLMs often confuse Soybeans harvest timing across different states.,USDA_NASS_HISTORICAL
FACT_Illinois_Soybeans,FACTUAL,MEDIUM,What is notable about Soybeans production in Illinois compared to other US states?,Illinois top soybean producer,LLMs may confuse production rankings or give outdated statistics for Soybeans in Illinois.,USDA_NASS_HISTORICAL
TEMP_Iowa_Soybeans_plant,TEMPORAL,MEDIUM,When is the optimal planting window for Soybeans in Iowa?,"In Iowa, Soybeans is planted from early May to early June. Harvest runs late September to October. Note: Iowa second largest soybean producer.",LLMs often give national averages instead of Iowa-specific windows for Soybeans.,USDA_NASS_HISTORICAL
TEMP_Iowa_Soybeans_harvest,TEMPORAL,LOW,When does Soybeans harvest typically occur in Iowa?,Soybeans harvest in Iowa runs from late September to October. Iowa second largest soybean producer.,LLMs often confuse Soybeans harvest timing across different states.,USDA_NASS_HISTORICAL
FACT_Iowa_Soybeans,FACTUAL,MEDIUM,What is notable about Soybeans production in Iowa compared to other US states?,Iowa second largest soybean producer,LLMs may confuse production rankings or give outdated statistics for Soybeans in Iowa.,USDA_NASS_HISTORICAL
TEMP_California_Almonds_plant,TEMPORAL,MEDIUM,When is the optimal planting window for Almonds in California?,"In California, Almonds is planted from January (bloom) to February. Harvest runs August to October. Note: California produces 80% of world almonds.",LLMs often give national averages instead of California-specific windows for Almonds.,USDA_NASS_HISTORICAL
TEMP_California_Almonds_harvest,TEMPORAL,LOW,When does Almonds harvest typically occur in California?,Almonds harvest in California runs from August to October. California produces 80% of world almonds.,LLMs often confuse Almonds harvest timing across different states.,USDA_NASS_HISTORICAL
